;RMS_(µV);rms_sec_(µV/s);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_1_(µV);rms_2_(µV);rms_3_(µV);rms_4_(µV);emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;;;;;;;;;;;323;1535;-3756;6533
;;;;;;;;;;;-0.77;1.05;-4221;3755
;;;;;;;;;;;-526;-1473;-2354;4369
;;;;;;;;;;;1.43;-2.18;-3186;4481
;;;;;;;;;;;1851;1615;-1096;-671
;;;;;;;;;;;-2689;855;1.05;-1061
;;;;;;;;;;;-1856;-1575;-6;583
;;;;;;;;;;;-726;-2116;-755;-471
;;;;;;;;;;;-2525;-1849;915;1867
;;;;;;;;;;;1271;-1846;-2466;3292
;;;;;;;;;;;2.83;-5.36;-1409;-6
;;;;;;;;;;;283;-4532;2.05;1086
;;;;;;;;;;;-1198;258;-799;1051
;;;;;;;;;;;2448;2047;429;-903
;;;;;;;;;;;828;-281;-257;-1121
;;;;;;;;;;;-4617;-3766;-1281;374
;;;;;;;;;;;-236;-3793;341;2753
;;;;;;;;;;;548;-3608;-136;-1.3
;;;;;;;;;;;-1247;-963;-1956;-2657
;;;;;;;;;;;2518;2462;-2381;158
;;;;;;;;;;;891;2088;-939;-1894
;;;;;;;;;;;-1776;5198;-1.85;-4567
;;;;;;;;;;;-4;5.35;3325;-4113
