name_muscle;angles_1;angles_2;emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;-178.61;162.52;-1.908;1.514;0.078;1.709
;-178.61;162.52;-3.853;-0.675;-0.525;3.296
;-178.61;162.52;0.653;4.2;1.245;2.752
;-178.61;162.51;-1.21;0.219;-2.804;0.987
;-178.6;162.51;-0.14;-1.972;-3.672;0.564
;-178.6;162.51;1.67;-2.346;1.08;2.022
;-178.6;162.51;-4.217;-1.579;0.607;1.311
;-178.6;162.5;-1.498;-2.174;1.973;0.189
;-178.6;162.5;0.893;-7.049;1.713;-1.093
;-178.6;162.5;1.403;-8.339;2.954;-1.542
;-178.6;162.49;6.134;-3.187;2.754;-0.396
;-178.6;162.49;0.983;-2.205;0.861;-0.203
;-178.6;162.49;-0.703;-8.608;0.744;0.394
;-178.6;162.49;0.277;-2.139;-1.336;-2.013
;-178.59;162.48;-1.188;4.336;-1.168;-1.785
;-178.59;162.48;-0.627;7.227;-0.605;2.252
;-178.59;162.48;-1.613;7.997;0.074;2.264
;-178.59;162.47;-1.577;1.201;0.04;-2.771
;-178.59;162.47;0.949;2.432;1.268;-2.89
;-178.59;162.47;0.628;1.291;-2.328;1.398
;-178.59;162.46;-2.815;-0.072;-3.914;-1.873
;-178.59;162.46;-0.14;1.405;-1.401;-0.66
;-178.59;162.46;-0.567;-2.698;-3.28;-0.8
;-178.59;162.45;-0.883;-4.495;-0.21;-2.854
;-178.59;162.45;1.657;0.59;-2.953;0.377
;-178.59;162.45;1.345;2.139;-1.954;-2.14
;-178.59;162.44;3.982;-2.554;3.416;1.644
;-178.59;162.44;0.299;-0.265;2.363;1.54
;-178.58;162.43;-2.77;-2.814;0.687;-3.26
;-178.58;162.43;-0.943;-2.62;-2.867;-0.92
;-178.58;162.43;-0.175;3.07;1.34;-2.156
;-178.58;162.42;3.856;1.03;3.818;-0.171
;-178.58;162.42;2.434;2.962;2.291;1.801
;-178.58;162.41;-3.644;1.321;0.973;0.738
;-178.58;162.41;-1.206;-3.072;0.313;2.488
;-178.58;162.4;1.277;-1.746;1.107;1.735
;-178.58;162.4;-1.944;3.363;-1.715;0.021
;-178.58;162.4;0.222;4.255;-1.75;2.687
;-178.58;162.39;0.199;0.575;2.234;0.7
;-178.58;162.39;-3.729;1.013;4.787;-2.689
;-178.57;162.38;-0.902;0.739;-0.141;1.559
;-178.57;162.38;1.691;-2.139;-0.883;4.008
;-178.57;162.38;0.976;-2.352;0.519;2.616
;-178.57;162.37;1.03;4.031;-0.442;-1.795
;-178.57;162.37;-0.245;0.578;1.296;-2.37
;-178.57;162.37;-2.703;-5.173;-0.162;-1.499
;-178.57;162.36;-1.413;-2.688;-0.806;-1.245
;-178.57;162.36;2.743;-2.129;-3.119;1.979
;-178.57;162.35;0.604;3.283;-2.768;-0.297
;-178.57;162.35;-1.13;0.86;-3.016;-0.49
;-178.57;162.35;2.746;-0.025;-1.685;0.423
;-178.57;162.34;1.078;3.89;0.354;-2.748
;-178.57;162.34;-1.176;-0.402;-3.891;-2.116
;-178.57;162.34;0.201;-2.173;0.991;1.28
;-178.57;162.33;1.061;-4.05;-0.232;1.425
;-178.57;162.33;-0.592;-1.944;-4.163;2.251
;-178.57;162.33;0.142;-1.657;0.122;1.919
